metric,value
baseline_r2_pct,23.038547166510803
r2_2023_pct,23.01440462488811
r2_2024_pct,23.02557399444143
remove_momentum_r2_pct,13.22323509268265
remove_momentum_delta_pp,-9.815312073828151
remove_calendar_r2_pct,15.070314799856144
remove_calendar_delta_pp,-7.968232366654659
remove_tech_r2_pct,21.61967127856108
remove_tech_delta_pp,-1.418875887949722
remove_retail_only_r2_pct,22.67508671697932
remove_retail_only_delta_pp,-0.363460449531483
remove_news_only_r2_pct,23.469587321304783
remove_news_only_delta_pp,0.4310401547939824
stress_spearman_rho,1.0
stress_spearman_p_scipy,1.4042654220543672e-24
stress_spearman_p_exact,0.0166666666666666
ticker_count_rive_vs_garchn,55.0
ticker_beats_rive_vs_garchn,53.0
ticker_beats_share_rive_vs_garchn,0.9636363636363636
targets_min_date,2020-12-01
targets_max_date,2024-12-31
targets_ticker_count,55.0
perm_baseline_r2_pct,23.038547166510803
perm_shuffled_mean_r2_pct,-9.778059281212947
perm_shuffled_std_r2_pct,0.5292567918579516
tail_mean_error_har,0.10334314319051721
tail_mean_error_rive,-0.006836757196014011
tail_q95_error_har,1.5475974277712947
tail_q95_error_rive,1.373542405226944
tail_underpred_gt1_har,0.13985530955756717
tail_underpred_gt1_rive,0.10571854437052387
perm_p_ttest_less,0.0
perm_p_empirical_ge_base_500,0.001996007984031936
