fold,test_start,test_end,n_train,n_test,r2_rive,r2_lgbm,r2_enet,rmse_rive,rmse_lgbm,rmse_enet
2022-Q1,2022-01-01,2022-04-01,14101,3641,0.18268380947095186,0.35021813748833364,0.21187652339909757,1.6893697510094632,1.5063068633518266,1.6589251635552584
2022-Q2,2022-04-01,2022-07-01,17742,3363,-0.09051065618881271,-1.6486892614505573,-0.3498446750333408,0.840882623286038,1.3104966842691308,0.9355399115385217
2022-Q3,2022-07-01,2022-10-01,21105,3520,0.314565197476779,0.17710052631159068,0.2121417971394448,0.6821232813025192,0.7474001642728767,0.7313138985474794
2022-Q4,2022-10-01,2023-01-01,24625,3682,0.2490480061665482,0.34558544928175716,0.2762382485033479,1.4214700042196522,1.3269607768429807,1.3954986685319146
2023-Q1,2023-01-01,2023-04-01,28307,3701,0.18082105765149836,0.25787076978300705,0.2154005966764022,1.7181083196304603,1.6353131145243662,1.6814545689347902
2023-Q2,2023-04-01,2023-07-01,32008,3410,0.1898755930053232,0.2711254383931645,0.08015293677252777,0.7056972514523177,0.6693741925172617,0.7519697680951568
2023-Q3,2023-07-01,2023-10-01,35418,3465,0.2353506619143091,0.4015448178883032,0.13124005298187758,0.6661970552520614,0.5893691049964663,0.7101031600087125
2023-Q4,2023-10-01,2024-01-01,38883,3674,0.2596271644651489,0.2710520526855916,0.27605169643047844,1.3306186782495688,1.3203121995314435,1.3157765887368262
2024-Q1,2024-01-01,2024-04-01,42557,3633,0.2138844640409978,0.30705546111081927,0.24838734737926083,1.4970543805072183,1.4055413441340674,1.463832644229715
2024-Q2,2024-04-01,2024-07-01,46190,3465,0.2299949026492929,-0.09642355196783692,0.15981063821701857,0.7787712275390216,0.9292921650610002,0.8134890037752484
2024-Q3,2024-07-01,2024-10-01,49655,3520,0.21027748733479945,0.25392660190952776,0.18808594514305121,0.8468744504349396,0.8231378060859146,0.858690782649069
2024-Q4,2024-10-01,2025-01-01,53175,3722,0.15125064725270343,0.1955560728382858,0.17228118544177107,1.5383638502989245,1.4976737801782893,1.5191853071263537
