regime,n,r2_full,r2_core,r2_diff,mae_full,mae_core,mae_diff,t_stat,p_value,p_one_sided,full_better
Overall,28590,23.0385,23.0881,-0.0495,0.6926,0.6943,0.0016,-0.3863,0.6993,0.6503,False
News Q1 (Low News),26304,22.8850,22.7865,0.0984,0.6841,0.6846,0.0005,0.7895,0.4298,0.2149,True
News Q2,2286,22.8529,24.0524,-1.1995,0.7907,0.8057,0.0150,-2.0877,0.0369,0.9815,False
Retail Q1 (Low Retail),7148,18.8441,19.1838,-0.3397,0.6166,0.6088,-0.0078,-1.2077,0.2272,0.8864,False
Retail Q2,7147,22.3307,22.6352,-0.3045,0.6624,0.6546,-0.0077,-1.2940,0.1957,0.9021,False
Retail Q3,7147,22.0851,22.6781,-0.5930,0.7057,0.7023,-0.0034,-2.7219,0.0065,0.9967,False
Retail Q4 (High Retail),7148,23.6620,22.9094,0.7527,0.7859,0.8114,0.0255,2.7073,0.0068,0.0034,True
Vol Q1 (Low Vol),7148,14.8852,15.0552,-0.1700,0.6609,0.6594,-0.0014,-0.6150,0.5386,0.7307,False
Vol Q2,7147,13.0706,13.3942,-0.3235,0.6621,0.6609,-0.0013,-1.1587,0.2466,0.8767,False
Vol Q3,7147,14.4539,14.2303,0.2235,0.6658,0.6679,0.0021,0.6082,0.5431,0.2715,True
Vol Q4 (High Vol),7148,20.2647,20.2353,0.0294,0.7818,0.7890,0.0071,0.1352,0.8925,0.4462,True
Calm (all low),2752,12.2217,14.0978,-1.8761,0.7070,0.6597,-0.0473,-2.5685,0.0103,0.9949,False
News-driven only,18241,22.4713,22.5647,-0.0934,0.6509,0.6523,0.0014,-1.0946,0.2737,0.8631,False
Retail-driven only,1030,20.7104,23.1080,-2.3976,0.8391,0.7924,-0.0467,-4.4653,0.0000,1.0000,False
Dual signal (N+R),6118,23.8840,22.4346,1.4494,0.7769,0.8145,0.0377,4.5460,0.0000,0.0000,True
High vol only,449,17.2350,19.3291,-2.0941,0.8175,0.7495,-0.0679,-1.3435,0.1798,0.9101,False
High vol + news,6474,20.7520,20.4206,0.3314,0.7699,0.7846,0.0147,1.5636,0.1179,0.0590,True
High vol + retail,2347,22.2476,22.2139,0.0337,0.8878,0.9191,0.0313,0.0808,0.9356,0.4678,True
Triple stress (all high),2122,23.4753,23.1106,0.3647,0.8702,0.9112,0.0411,0.7669,0.4432,0.2216,True
Stress Q1 (Calmest),5718,11.1510,13.6069,-2.4559,0.6773,0.6414,-0.0359,-5.2840,0.0000,1.0000,False
Stress Q2,5718,14.1121,14.0267,0.0854,0.6152,0.6136,-0.0016,0.4312,0.6664,0.3332,True
Stress Q3,5718,16.3242,15.9222,0.4020,0.6509,0.6541,0.0032,2.1604,0.0308,0.0154,True
Stress Q4,5718,19.6608,19.2411,0.4198,0.7017,0.7112,0.0095,2.0529,0.0401,0.0201,True
Stress Q5 (Most Stressed),5718,22.9778,22.0854,0.8923,0.8182,0.8512,0.0330,2.9432,0.0033,0.0016,True
