method,dropped_year,cov_stress,n_stress
aci,none,0.8305999290024849,14085
aci,2011,0.8305999290024849,14085
aci,2015,0.8098618209350747,10566
aci,2018,0.829147445754314,11706
aci,2020,0.8536387593756335,9866
aci,2022,0.8305999290024849,14085
aci,2024,0.8352394567548249,13990
aci,2025,0.8410969793322735,12580
rc_adaptive,none,0.8827786844532747,14093
rc_adaptive,2011,0.8827786844532747,14093
rc_adaptive,2015,0.883204085492718,10574
rc_adaptive,2018,0.8813385692333959,11714
rc_adaptive,2020,0.8825197488353251,9874
rc_adaptive,2022,0.8827786844532747,14093
rc_adaptive,2024,0.8864837833976282,13998
rc_adaptive,2025,0.8825071496663489,12588
