rho,n,sigma_h,arm,marginal,cov_stress,cov_onset
0.0,10,0.0,pooled_k2,0.8980714285714285,0.47708333333333336,0.4785714285714286
0.0,10,0.0,pooled_k1,0.9023214285714286,0.45,0.45
0.0,10,0.0,per_stock_k2,0.8873928571428571,0.44166666666666665,0.45
0.0,10,0.5,pooled_k2,0.8818571428571429,0.5585,0.5588235294117647
0.0,10,0.5,pooled_k1,0.8922142857142857,0.4985,0.47058823529411764
0.0,10,0.5,per_stock_k2,0.87775,0.473,0.45294117647058824
0.0,100,0.0,pooled_k2,0.8913857142857143,0.8275280898876405,0.7934615384615384
0.0,100,0.0,pooled_k1,0.9005107142857143,0.6614325842696629,0.545
0.0,100,0.0,per_stock_k2,0.8599178571428572,0.5069662921348315,0.49615384615384617
0.0,100,0.5,pooled_k2,0.893725,0.7379365079365079,0.6333333333333333
0.0,100,0.5,pooled_k1,0.8971107142857143,0.5392063492063492,0.43133333333333335
0.0,100,0.5,per_stock_k2,0.9069357142857143,0.4857142857142857,0.4766666666666667
0.3,10,0.0,pooled_k2,0.87775,0.5042682926829268,0.4785714285714286
0.3,10,0.0,pooled_k1,0.8935,0.47560975609756095,0.45
0.3,10,0.0,per_stock_k2,0.8640714285714286,0.43658536585365854,0.4357142857142857
0.3,10,0.5,pooled_k2,0.9315,0.7063414634146341,0.66
0.3,10,0.5,pooled_k1,0.9373928571428571,0.5414634146341464,0.525
0.3,10,0.5,per_stock_k2,0.9610714285714286,0.6424390243902439,0.6
0.3,100,0.0,pooled_k2,0.8923928571428571,0.7799,0.7365384615384616
0.3,100,0.0,pooled_k1,0.9004214285714286,0.6186,0.515
0.3,100,0.0,per_stock_k2,0.8720714285714286,0.47245,0.465
0.3,100,0.5,pooled_k2,0.8923035714285714,0.7290647482014389,0.6091666666666666
0.3,100,0.5,pooled_k1,0.8979892857142857,0.5632374100719425,0.4091666666666667
0.3,100,0.5,per_stock_k2,0.8763178571428571,0.4313669064748201,0.4116666666666667
0.6,10,0.0,pooled_k2,0.8866785714285714,0.515483870967742,0.5181818181818182
0.6,10,0.0,pooled_k1,0.90475,0.44451612903225807,0.4409090909090909
0.6,10,0.0,per_stock_k2,0.8887142857142857,0.43483870967741933,0.41818181818181815
0.6,10,0.5,pooled_k2,0.8863214285714286,0.5130434782608696,0.3923076923076923
0.6,10,0.5,pooled_k1,0.8934285714285715,0.46594202898550724,0.35384615384615387
0.6,10,0.5,per_stock_k2,0.8708571428571429,0.4181159420289855,0.3230769230769231
0.6,100,0.0,pooled_k2,0.8927535714285715,0.7268253968253968,0.73125
0.6,100,0.0,pooled_k1,0.8983392857142857,0.5034126984126984,0.44625
0.6,100,0.0,per_stock_k2,0.8954,0.4557936507936508,0.45875
0.6,100,0.5,pooled_k2,0.8932321428571428,0.722983870967742,0.66875
0.6,100,0.5,pooled_k1,0.8987642857142857,0.5590322580645162,0.47125
0.6,100,0.5,per_stock_k2,0.8807035714285715,0.455241935483871,0.4575
0.9,10,0.0,pooled_k2,0.8929642857142858,0.5174757281553398,0.5
0.9,10,0.0,pooled_k1,0.9032857142857142,0.47184466019417476,0.4636363636363636
0.9,10,0.0,per_stock_k2,0.9025,0.46310679611650485,0.4727272727272727
0.9,10,0.5,pooled_k2,0.88725,0.589171974522293,0.6307692307692307
0.9,10,0.5,pooled_k1,0.9006785714285714,0.5439490445859873,0.5692307692307692
0.9,10,0.5,per_stock_k2,0.8895357142857143,0.5318471337579618,0.5692307692307692
0.9,100,0.0,pooled_k2,0.8925071428571428,0.6669791666666667,0.8025
0.9,100,0.0,pooled_k1,0.9004964285714285,0.5067708333333333,0.5541666666666667
0.9,100,0.0,per_stock_k2,0.8872357142857142,0.416875,0.5475
0.9,100,0.5,pooled_k2,0.8931285714285714,0.7381818181818182,0.812
0.9,100,0.5,pooled_k1,0.9013928571428571,0.5937762237762237,0.57
0.9,100,0.5,per_stock_k2,0.916025,0.526993006993007,0.576
