method,slice,coverage,se,n_dates,diff_vs_rc,t_vs_rc,p_vs_rc
aci,marginal,0.8986005232549978,0.0023715574025703384,3252,0.0005436189260714904,0.4053894980401031,0.6851912293048568
aci,stress,0.8298548203221902,0.025507794144243624,150,0.050550626424289376,3.053736620662484,0.002260104080777925
dtaci,marginal,0.8985693354543951,0.0022989292534438353,3252,0.0005748067266741977,0.46442926682094593,0.6423402257579447
dtaci,stress,0.8365857164150251,0.02541935391301958,150,0.0438197303314544,2.7800540814805643,0.005434984623090555
sfogd,marginal,0.8991934056413421,0.002263649462662412,3252,-4.926346027271804e-05,-0.042475651715983734,0.9661195213445544
sfogd,stress,0.8408484230658617,0.024705279355611967,150,0.03955702368061765,2.6326411005823074,0.00847238227698388
har_qreg,marginal,0.8897519600556965,0.0026167439595369438,3252,0.009392182125372895,4.533909077834137,5.790196146104876e-06
har_qreg,stress,0.8157817266464139,0.02611531587866184,150,0.06462372010006569,2.7069015400610175,0.006791439626159024
knn_state,marginal,0.8940864496478776,0.002432369715118758,3252,0.005057692533191689,3.444770870756754,0.0005715436567086396
knn_state,stress,0.8300959586068071,0.026201273757284073,150,0.050309488139672356,2.78120793991714,0.005415703599480626
rc_hand,marginal,0.8976175222333866,0.0021368846570767467,3252,0.0015266199476826796,2.0594059940835483,0.0394553620335929
rc_hand,stress,0.8810056016309034,0.01845182014217185,150,-0.0006001548844237473,-0.15125499084890195,0.8797745728086628
rc_adaptive,marginal,0.8991441421810695,0.0018908963414775769,3252,,,
rc_adaptive,stress,0.8804054467464797,0.01849892827394573,150,,,
