method,marginal,cov_calm,cov_normal,cov_elevated,cov_stress,cov_stress_upper,width,width_stress
aci,0.8986448156318941,0.8969412746259016,0.9053876478318003,0.9148498030837344,0.829214402618658,0.9005728314238952,1.7030120328442817,1.8030358495319498
dtaci,0.8986225691032795,0.8971767682204759,0.9047449008741358,0.91281628870756,0.8360065466448445,0.905810147299509,1.6992775615655369,1.8700018289480675
sfogd,0.8992269331306427,0.8982667671439337,0.9029737759241273,0.9146953589538984,0.8402618657937807,0.9102291325695581,1.7341552995577378,1.9091047633964118
tcp_rm,0.8994679371906342,0.8991078156959845,0.9018882477289607,0.9124301783829699,0.8487725040916531,0.9189852700490998,1.789509622938757,2.0685717512415565
har_qreg,0.8898759756029736,0.8863777048121434,0.9020453636519454,0.9049653787742284,0.8147299509001636,0.8483633387888707,1.6452428534512633,1.7076122506352673
knn_state,0.8940842772659017,0.8919891807514264,0.8974318688224876,0.9164199850704008,0.8293780687397708,0.90810147299509,1.6670354873511115,1.836716485521066
rc_hand,0.8976400140894681,0.898569544622672,0.897489001885391,0.8993539087235193,0.8817512274959084,0.9405073649754501,1.6955370082884986,2.251432168262484
rc_adaptive,0.8992083943567972,0.8999555926364518,0.8995315088841913,0.9014389044763057,0.8811783960720131,0.9397708674304419,1.7255937729544224,2.337184186171754
pooled_k1,0.9001909493706086,0.9013550974270643,0.9004599211563732,0.9037813071121522,0.8730769230769231,0.9414075286415712,1.7283061149066414,2.268412528771159
xs_panel,0.9003466750709108,0.9073029927871676,0.905073415985831,0.888233931375325,0.8271685761047464,0.932569558101473,1.8000422720906086,1.9853286051969095
