config,marginal,cov_calm,cov_stress,cov_stress_upper,width,width_stress
K=1,0.9000544356879275,0.9003363344232193,0.8737671184275881,0.9407507273114312,1.7153676592203355,2.258611441860977
K=2,0.899329538336128,0.9001958047199243,0.8827786844532747,0.9390477542042148,1.7096403876912774,2.32584239015053
K=3,0.8993103901041938,0.8997648469631531,0.8828496416660754,0.9391187114170155,1.711210829569505,2.325175198796066
K=4,0.8992009716359975,0.8999850101649819,0.8828496416660754,0.9390477542042148,1.715049156066663,2.3252262717134156
K=5,0.8990477857805229,0.899732056699051,0.8829205988788761,0.9391187114170155,1.7152734049940461,2.324593108556315
pooled_no_offsets,0.8992119134828171,0.8999662728712092,0.8827786844532747,0.9390477542042148,1.7149692000596637,2.3261786515025835
forecaster=har,0.8992310617147515,0.9000318533994135,0.8834882565812815,0.9371319094585965,1.7152131581973369,2.269024978393847
forecaster=lgbm,0.8992392680998662,0.8999709571946524,0.8830625133044774,0.9394734974810189,1.7101393710671726,2.2640275421998295
forecaster=pool,0.8992009716359975,0.8999850101649819,0.8828496416660754,0.9390477542042148,1.715049156066663,2.3252262717134156
per_stock,0.880964890109422,0.8841206513657591,0.799752781211372,0.8760270486439322,1.6048025693948527,1.6991509199899184
