ticker,permno,company,n_exact_matches,alternatives
AAPL,14593,APPLE INC,1,
ABBV,13721,ABBVIE INC,1,
ABT,20482,ABBOTT LABORATORIES,1,
ADBE,75510,ADOBE INC,1,
AIG,66800,AMERICAN INTERNATIONAL GROUP INC,1,
AMAT,14702,APPLIED MATERIALS INC,1,
AMD,61241,ADVANCED MICRO DEVICES INC,1,
AMGN,14008,AMGEN INC,1,
AMZN,84788,AMAZON COM INC,1,
AVGO,93002,BROADCOM INC,2,88618:AVANTGO INC
AXP,59176,AMERICAN EXPRESS CO,1,
BA,19561,BOEING CO,1,
BAC,59408,BANK OF AMERICA CORP,2,58827:BANKAMERICA CORP
BK,49656,BANK OF NEW YORK MELLON CORP,1,
BLK,87267,BLACKROCK INC,2,77875:BLACKROCK 2001 TERM TRUST INC
BMY,19393,BRISTOL MYERS SQUIBB CO,1,
C,70519,CITIGROUP INC,2,11260:CHRYSLER CORP
CAT,18542,CATERPILLAR INC,1,
CB,79057,CHUBB LTD,2,59192:CHUBB CORP
CI,64186,CIGNA CORP NEW,1,
CL,18729,COLGATE PALMOLIVE CO,1,
CMCSA,89525,COMCAST CORP NEW,2,25022:COMCAST CORP
CME,89626,C M E GROUP INC,2,84387:CORE MATERIALS CORP
COF,81055,CAPITAL ONE FINANCIAL CORP,1,
COP,13928,CONOCOPHILLIPS,3,26607:CONSOLIDATED PRODUCTS INC; 67854:COPLEY PROPERTY INC
COST,87055,COSTCO WHOLESALE CORP NEW,1,
CRM,90215,SALESFORCE COM INC,2,79059:CORIMON C A
CSCO,76076,CISCO SYSTEMS INC,1,
CVS,17005,C V S HEALTH CORP,1,
CVX,14541,CHEVRON CORP NEW,1,
DE,19350,DEERE & CO,1,
DHR,49680,DANAHER CORP,1,
DIS,26403,DISNEY WALT CO,1,
EL,82642,LAUDER ESTEE COS INC,1,
EOG,75825,EOG RESOURCES INC,1,
ETN,11762,EATON CORP PLC,1,
GE,12060,GENERAL ELECTRIC CO,1,
GILD,77274,GILEAD SCIENCES INC,1,
GIS,17144,GENERAL MILLS INC,1,
GOOG,90319,GOOGLE INC,2,14542:ALPHABET INC
GS,86868,GOLDMAN SACHS GROUP INC,1,
HD,66181,HOME DEPOT INC,1,
HON,10145,HONEYWELL INTERNATIONAL INC,2,18374:HONEYWELL INC
IBM,12490,INTERNATIONAL BUSINESS MACHS COR,1,
INTC,59328,INTEL CORP,1,
INTU,78975,INTUIT INC,1,
ISRG,88352,INTUITIVE SURGICAL INC,1,
JNJ,22111,JOHNSON & JOHNSON,1,
JPM,47896,JPMORGAN CHASE & CO,2,48071:MORGAN J P & CO INC
KMB,17750,KIMBERLY CLARK CORP,1,
KO,11308,COCA COLA CO,1,
LLY,50876,LILLY ELI & CO,1,
LMT,21178,LOCKHEED MARTIN CORP,1,
LOW,61399,LOWES COMPANIES INC,1,
MA,91233,MASTERCARD INC,2,13100:MAY DEPARTMENT STORES CO
MCD,43449,MCDONALDS CORP,1,
MDLZ,89006,MONDELEZ INTERNATIONAL INC,1,
MDT,60097,MEDTRONIC PLC,1,
MET,87842,METLIFE INC,2,78222:MEMTEC LTD
META,13407,<permno not in symbol matches>,2,76947:METATEC INTERNATIONAL INC; 21413:LISTED FUNDS TRUST
MMM,22592,3M CO,1,
MO,13901,ALTRIA GROUP INC,1,
MRK,22752,MERCK & CO INC NEW,1,
MS,69032,MORGAN STANLEY DEAN WITTER & CO,2,82621:MILESTONE SCIENTIFIC INC
MSFT,10107,MICROSOFT CORP,1,
MU,53613,MICRON TECHNOLOGY INC,1,
NFLX,89393,NETFLIX INC,1,
NKE,57665,NIKE INC,1,
NOW,13447,SERVICENOW INC,2,69526:M A I SYSTEMS CORP
NVDA,86580,NVIDIA CORP,1,
ORCL,10104,ORACLE CORP,1,
OXY,34833,OCCIDENTAL PETROLEUM CORP,1,
PEP,13856,PEPSICO INC,1,
PFE,21936,PFIZER INC,1,
PG,18163,PROCTER & GAMBLE CO,1,
PM,92602,PHILIP MORRIS INTERNATIONAL INC,2,77392:POLYMEDICA CORP
PNC,60442,P N C FINANCIAL SERVICES GRP INC,1,
QCOM,77178,QUALCOMM INC,1,
RTX,17830,RAYTHEON TECHNOLOGIES CORP,2,88409:RATEXCHANGE CORP
SBUX,77702,STARBUCKS CORP,1,
SCHW,75186,SCHWAB CHARLES CORP NEW,1,
SLB,14277,SCHLUMBERGER LTD,1,
SPGI,17478,S & P GLOBAL INC,1,
SYK,73139,STRYKER CORP,1,
T,66093,A T & T INC,2,10401:A T & T CORP
TGT,49154,TARGET CORP,1,
TMO,62092,THERMO FISHER SCIENTIFIC INC,1,
TMUS,91937,T MOBILE U S INC,1,
TSLA,93436,TESLA INC,1,
TXN,15579,TEXAS INSTRUMENTS INC,1,
UNH,92655,UNITEDHEALTH GROUP INC,1,
UNP,48725,UNION PACIFIC CORP,1,
UPS,87447,UNITED PARCEL SERVICE INC,1,
USB,66157,U S BANCORP DEL,1,
V,92611,VISA INC,3,88614:VIVENDI; 75817:VIVRA INC
VRTX,76744,VERTEX PHARMACEUTICALS INC,1,
VZ,65875,VERIZON COMMUNICATIONS INC,1,
WFC,38703,WELLS FARGO & CO NEW,2,50024:WELLS FARGO & CO NEW
WMT,55976,WALMART INC,1,
XOM,11850,EXXON MOBIL CORP,1,
